,subject,predicate,object
93,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/236572,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/236571
94,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/98298,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/55711
95,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/5911,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/5890
96,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/100775,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/6566
97,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/61971,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/55292
98,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/30725,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/10
99,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/123757,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/6125
100,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/178841,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/1
101,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/38948,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/1
102,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/192200,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/651670
103,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/204566,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/1
104,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/466553,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/219316
105,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/356314,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/1659746
106,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/225392,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/10
107,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/45951,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/1
